type,throughput_download,throughput_upload,rtt_download,rtt_upload
client,516.0924698409668,257.58067779967774,9.965980682399513,13.950415991281545
client,584.8037749535936,298.02161228497357,12.558871323721633,13.577039523682554
client,552.0225033064495,112.2340125881597,68.43773310391241,139.36238588433838
client,747.9666929593732,416.95494085858513,10.56049843561181,16.883267297267317
client,563.5253106341122,754.8710103647466,26.498062529022018,24.567508196084574
client,690.99167359146,721.6946060230941,35.04094145810852,34.48392385368955
client,685.794489065663,658.3647564914683,35.43527902836102,34.942904075647384
client,630.1942649657768,693.008538492084,41.332468174278006,35.331215324514886
client,686.982531179149,733.7937358178311,34.27373761064906,33.467847132716244
client,617.0290404317647,549.4189730015761,52.01250017399687,52.055898432121715
client,578.8762437507362,615.449400151083,52.83254639824659,52.73248937161737
client,591.6116399799546,624.6450821734715,35.70058651247003,33.244865748752595
client,506.4755890221537,700.7106898585671,34.61629501302929,32.98444123061727
client,519.4650142297279,693.5886474533879,37.74843411033704,35.37957339912647
client,597.9819838827839,762.1237847802198,18.65734668040293,15.801916895604394
client,597.9375682384314,690.1410788221307,32.89858951014914,32.78128231627017
server,278.84183235655826,266.8054186086383,97.56509810522589,100.88348518280173
server,669.775807426243,658.8881916899967,18.688779829504167,22.751727993053585
server,705.36963283259,654.169717425366,15.103002128044922,19.522002761976005
server,714.3657758595814,704.2305227815709,17.248985815674526,22.953910254293454
server,694.1556444633937,675.6033135107253,16.900911155481612,21.986938764401092
