entity,cluster_0,cluster_1,total_time
client01,0.3160440522534522,0.6839559477465479,250.5957060185185
client02,0.20575547367097194,0.7942445263290281,405.9368402777778
client03,0.20448850439256347,0.7955114956074365,388.9715393518519
client04,0.502127576084876,0.497872423915124,245.99263888888888
client05,0.09433726728761575,0.9056627327123843,337.6713078703704
client06,0.09113517464166968,0.9088648253583302,343.6729513888889
client07,0.1703869301860609,0.8296130698139391,401.72155092592595
client08,0.027054695013473497,0.9729453049865268,401.0445833333333
client09,0.1746438818727719,0.8253561181272281,395.937662037037
client10,0.3335891711410719,0.6664108288589281,87.47886574074074
client11,0.1111667448706217,0.888833255129378,81.6212152777778
client12,0.16853362281985976,0.8314663771801402,379.57799768518515
client13,0.1662058579039965,0.8337941420960037,362.260625
client14,0.10780619838251944,0.8921938016174806,346.6940162037037
client15,0.0,1.0,47.574826388888894
client16,0.14384188908889517,0.8561581109111047,360.5275115740741
