entity,cluster_0,cluster_1,total_time
client01,0.1859180086117944,0.8140819913882055,250.59570601851857
client02,0.11386951474246118,0.8861304852575389,405.9368402777777
client03,0.0027123402136468556,0.9972876597863531,388.9715393518519
client04,0.2281208636738415,0.7718791363261585,245.99263888888888
client05,0.0,1.0000000000000002,337.67130787037036
client06,0.09750475047555271,0.9024952495244472,343.6729513888889
client07,0.17038693018606094,0.8296130698139392,401.7215509259259
client08,0.16961134943549616,0.8303886505645038,401.0445833333334
client09,0.20396229485012343,0.7960377051498766,395.937662037037
client10,0.3335891711410719,0.6664108288589281,87.47886574074074
client11,0.3322676892312374,0.6677323107687626,81.62121527777778
client12,0.16853362281985976,0.8314663771801402,379.57799768518515
client13,0.04552405902262791,0.9544759409773722,362.26062499999995
client14,0.17357791918325888,0.8264220808167412,346.6940162037037
client15,0.0,1.0,47.574826388888894
client16,0.21012782934419943,0.7898721706558004,360.5275115740741
