feature,type,coefficient_throughput_download,odds_ratio_throughput_download,coefficient_rtt_upload,odds_ratio_rtt_upload
client01,client,0.748682528455519,2.1142127657961,0.199903422999474,1.22128480444125
client02,client,-1.99789970409466,0.135619826085334,-0.318217846719646,0.727444299797673
client03,client,0.617019653250001,1.85339603943586,1.55927031763591,4.75535008377806
client04,client,0.231343309627434,1.26029183550829,-0.669589007566666,0.511918929363577
client05,client,1.32890504048811,3.77690556393478,0.818058755504103,2.26609651756299
client06,client,-1.00345830352472,0.366609399763499,0.0256760455738193,1.02600851463003
client07,client,-1.53796052344256,0.214818772816259,-0.154457844202043,0.856879613824596
client08,client,0.308649554592415,1.36158512562986,-0.380156905474482,0.683754116031127
client09,client,0.0045427833138521,1.00455311739654,-0.795536685694281,0.451338942757189
client10,client,0.0475566703471673,1.04870562994947,-0.0388119864901095,0.9619315482724
client11,client,0.784108413703236,2.19045309188979,0.0448414077733199,1.04586198117513
client12,client,0.0890126839122663,1.0930945209534,-0.0550937718001649,0.946396398498494
client13,client,-0.93691891069696,0.391833250645993,0.33071152033362,1.39195818275071
client14,client,0.738869193658523,2.09356675687873,-0.0143584407443226,0.985744150064345
client15,client,0.542634844005437,1.72053423441954,0.141226775006434,1.15168579192604
client16,client,0.0349407528187474,1.03555835306862,-0.693383625604358,0.499881791453257
gru03,server,-0.419725379605617,0.657227283050151,0.198771007237023,1.21990258504948
gru05,server,1.50701560606177,4.51324138523911,0.668099286948443,1.95052640406575
gru06,server,1.89741112954663,6.66860791364979,0.840892084948279,2.31843429487034
rnp_rj,server,-1.76176193558076,0.171741998748721,-1.7626019029254,0.171597801646975
rnp_sp,server,-1.22291143400819,0.294371873813936,0.054921654322264,1.05645784252744
throughput_download,metric (mean),-0.0149537239207336,0.985157527776079,2.15448050153764,8.62340916732751
throughput_upload,metric (mean),0.685886389314218,1.98553100923523,1.04855125694591,2.85351411330688
rtt_download,metric (mean),-1.59205497528668,0.203506979928107,-0.0253099162341428,0.975007694486755
rtt_upload,metric (mean),-0.619916969840608,0.53798910506142,0.735539069115386,2.08660651450819
throughput_download_std,metric (standard deviation),-1.04130180079447,0.352994853740306,0.18455339577343,1.20268119766316
throughput_upload_std,metric (standard deviation),0.185976635256794,1.20439411968956,0.308931093343622,1.36196851857324
rtt_download_std,metric (standard deviation),-0.334556271693352,0.715655572543894,-0.756848033323922,0.469142821554249
rtt_upload_std,metric (standard deviation),0.905134639745135,2.47226476574801,-0.413474920740968,0.661348120293274
