feature,coefficient
client_client01,-1.0868736010019373
client_client02,0.47281874170722193
client_client03,0.3406902629687905
client_client04,0.0935305927076469
client_client05,0.5827924398319803
client_client06,0.3017906706925051
client_client07,0.05093779368118654
client_client08,-0.48110739293842253
client_client09,-1.750462238419576
client_client10,0.7091672676665026
client_client11,0.7125775310756173
client_client12,0.5610881248232605
client_client13,0.3432902772674729
client_client14,-1.0198158415839977
client_client15,0.13646627064550032
client_client16,0.033069469186559924
site_gru03,0.5449444163009652
site_gru05,1.0264875071868829
site_gru06,0.7438498180736821
site_rnp_rj,-1.881601001217321
site_rnp_sp,-0.43372037203389846
throughput_download,0.023611201313930883
throughput_upload,0.18956962916242068
rtt_download,-1.0090187615070172
rtt_upload,-0.3926860093665592
throughput_download_std,1.1345600991435607
throughput_upload_std,0.08492867727503298
rtt_download_std,-0.8730033944614666
rtt_upload_std,0.603466997687817
