id,group,rtt_download_mean,rtt_download_std,throughput_download_mean,throughput_download_std,rtt_upload_mean,rtt_upload_std,throughput_upload_mean,throughput_upload_std,cluster_0,cluster_1,total_time,coefficient
client01,client,9.66951834556372,5.31352037427676,515.127084389593,23.925862927304,13.5430960640427,4.58874067591159,254.747491654436,28.0854727697657,0.0989372591762711,0.901062740823729,250.595706018519,0.748682528455519
client02,client,13.9176305207646,4.12596027579433,586.034211272248,23.8358953938875,15.2701216216217,4.07969536191139,299.050318061965,3.36406944623045,0.410905352311039,0.589094647688961,405.936840277778,-1.99789970409466
client03,client,52.7465219328309,74.1597551525994,592.675816758055,213.08336887074,120.300419465387,70.2106931416367,117.063141687276,35.7661023249549,0.204488504392563,0.795511495607436,388.971539351852,0.617019653250001
client04,client,9.73654617169375,5.60242945933896,741.381987006961,134.824214933764,16.0829025522042,12.1990174833363,463.752041763341,137.023193487444,0.0667537759429342,0.933246224057066,245.992638888889,0.231343309627434
client05,client,24.1002876420454,24.3811125976647,567.069541754262,166.571676782414,22.2019098011363,25.2167825890466,767.016202201705,183.392611033585,0.0757676804719251,0.924232319528075,337.67130787037,1.32890504048811
client06,client,44.050972260749,49.88465927506,629.08075029473,331.805102997336,43.7245790568655,50.9713746068441,667.448495769765,304.462187269297,0.487832104320487,0.512167895679513,343.672951388889,-1.00345830352472
client07,client,29.8906285217391,37.010311209354,712.972491866192,277.812186400869,29.848992347826,38.2281367551935,687.353909152001,237.886483665069,0.49740411219744,0.50259588780256,401.721550925926,-1.53796052344256
client08,client,35.6745489226422,36.1457009414893,649.097690957259,244.206697310704,30.5858869657365,39.132984634448,709.323033048394,225.969953400573,0.274777193539603,0.725222806460398,401.044583333333,0.308649554592415
client09,client,28.5482385287691,35.6271525667143,718.562621472323,271.749191378387,28.6401839038601,36.7293283553437,760.547081656957,225.424295408949,0.269233366387,0.730766633613,395.937662037037,0.00454278331385215
client10,client,32.3432687704026,36.8643533149229,739.954085034821,249.246338302098,31.9701991294886,37.834314460178,665.63887336235,252.373427224262,0.387633044701008,0.612366955298992,87.4788657407407,0.0475566703471673
client11,client,31.3692629161882,34.2179144881472,705.366589479909,218.816883626702,30.47716532721,35.9515569762147,754.068745120551,234.512084477547,0.332267689231237,0.667732310768763,81.6212152777778,0.784108413703236
client12,client,31.3122209795604,37.8260340616244,601.935682281527,231.521102539701,29.6098399537216,39.1301434451009,642.414748925181,203.935018179992,0.274403723018548,0.725596276981452,379.577997685185,0.0890126839122663
client13,client,30.671154090548,35.7836228415397,515.013819453534,204.46274820819,29.6012911040508,36.9580450279756,716.586171617555,225.963161571049,0.370437208887427,0.629562791112573,362.260625,-0.93691891069696
client14,client,31.3724658997535,36.3932606024991,538.357375766268,200.09477971839,29.8618512124948,37.4426837616473,719.391585550534,225.030431943202,0.203677641217074,0.796322358782926,346.694016203704,0.738869193658523
client15,client,19.5846082802548,3.40036897933051,591.100041401274,114.302483668926,17.0036560509554,5.01008001249383,760.585816242039,111.532112537805,0,1,47.5748263888889,0.542634844005437
client16,client,27.8013931203932,34.1368942730084,624.376072189598,222.946916920647,27.7388746928746,35.5182857582672,715.416772043406,204.221858054915,0.179328053154622,0.820671946845378,360.527511574074,0.0349407528187474
gru03,server,100.403466969894,70.174462430976,273.753437802101,228.42076594988,103.962325536062,72.2623567134089,262.528515678363,215.902328359181,0.644970234339402,0.355029765660599,1052.06251157407,-0.419725379605617
gru05,server,17.3446383342841,9.31463201688562,726.356925328009,123.875963920324,24.3630005704506,36.3458430019324,698.098105522355,258.948264667983,0,1,728.759166666667,1.50701560606177
gru06,server,16.9026833839919,10.1109253348429,708.066833545136,169.628403120377,21.8604817629179,31.9137858790798,684.579401103345,256.493382533465,0,1,904.015821759259,1.89741112954663
rnp_rj,server,18.6750810552705,5.94820631726583,664.740379489433,165.386460470237,24.4640410672715,25.1023141514313,628.953620215817,257.89397988081,0.40246618658195,0.597533813418051,1077.11185185185,-1.76176193558076
rnp_sp,server,15.3620065733414,5.54097134844171,697.474122520145,177.081416867491,21.9473571515521,31.7806574980374,625.067102345709,267.790101350544,0.204597016976499,0.795402983023501,1075.33048611111,-1.22291143400819
