feature,type,coefficient,odds_ratio
client01,client,0.199903422999474,1.2212848044412523
client02,client,-0.3182178467196461,0.7274442997976734
client03,client,1.5592703176359128,4.755350083778062
client04,client,-0.6695890075666658,0.5119189293635772
client05,client,0.8180587555041033,2.266096517562989
client06,client,0.0256760455738193,1.0260085146300284
client07,client,-0.1544578442020427,0.8568796138245963
client08,client,-0.380156905474482,0.6837541160311273
client09,client,-0.7955366856942805,0.45133894275718894
client10,client,-0.0388119864901095,0.9619315482723997
client11,client,0.0448414077733199,1.045861981175131
client12,client,-0.0550937718001649,0.946396398498494
client13,client,0.3307115203336197,1.3919581827507086
client14,client,-0.0143584407443226,0.9857441500643451
client15,client,0.1412267750064335,1.1516857919260388
client16,client,-0.6933836256043583,0.4998817914532568
gru03,server,0.1987710072370234,1.2199025850494842
gru05,server,0.6680992869484432,1.950526404065752
gru06,server,0.840892084948279,2.318434294870344
rnp_rj,server,-1.7626019029254003,0.1715978016469749
rnp_sp,server,0.054921654322264,1.0564578425274442
throughput_download,metric (mean),2.154480501537644,8.623409167327507
throughput_upload,metric (mean),1.0485512569459057,2.853514113306879
rtt_download,metric (mean),-0.0253099162341428,0.9750076944867548
rtt_upload,metric (mean),0.7355390691153858,2.0866065145081896
throughput_download_std,metric (standard deviation),0.1845533957734304,1.2026811976631553
throughput_upload_std,metric (standard deviation),0.3089310933436215,1.3619685185732402
rtt_download_std,metric (standard deviation),-0.7568480333239223,0.4691428215542487
rtt_upload_std,metric (standard deviation),-0.4134749207409677,0.6613481202932742
